ID,Material,Vision Description Target,Project Idea,Difficulty,Time to Complete,Instructions
647,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Eco-friendly Self-Watering Planter (Var.849),Easy,25 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Cilantro.
5. Fill the bottom half with water. The string will pull water up to the soil!"
648,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Chic Pencil Shaving Texture Art (Var.784),Easy,21 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a butterfly.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
649,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Eco-friendly Rustic Tealight Holder (Var.120),Easy,20 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap leather string tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried rose petals to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
650,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Eco-friendly Desktop Terrarium (Var.541),Intermediate,51 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of river pebbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Fern.
6. Mist lightly with a spray bottle and seal the jar tightly."
651,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Bespoke Vertical Succulent Garden (Var.918),Advanced,120 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable lace tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Spider Plant tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
652,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Modern Desktop Terrarium (Var.580),Intermediate,47 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of gravel for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Spider Plant.
6. Mist lightly with a spray bottle and seal the jar tightly."
653,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Dynamic Cat Scratching Pad (Var.580),Intermediate,58 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with dried organic organic catnip!"
654,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Minimalist Cat Scratching Pad (Var.594),Intermediate,72 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with dried organic organic catnip!"
655,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Handcrafted Geometric Cork Board (Var.422),Intermediate,44 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish horizontal linear pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
656,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Modern Hanging Bird Feeder (Var.170),Easy,22 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a bamboo skewer through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
657,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Aesthetic No-Sew Produce Bag (Var.763),Intermediate,44 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a highly expanding mesh."
658,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Chic Hanging Bird Feeder (Var.357),Easy,34 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a bamboo skewer through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
659,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Boho Cat Scratching Pad (Var.396),Intermediate,73 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with catnip spray!"
660,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Bespoke No-Sew Produce Bag (Var.362),Intermediate,32 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a durable mesh."
661,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Aesthetic Paper Mache Decorative Bowl (Var.864),Intermediate,58 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it metallic copper."
662,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Eco-friendly Biodegradable Seed Starters (Var.631),Easy,13 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Rosemary seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
663,Wine Cork,"cork, wine cork, wooden stopper, cylinder corks, pile of corks",Handcrafted Geometric Cork Board (Var.449),Intermediate,45 minutes,"1. Collect around 50-100 clean wine corks.
2. Find an old picture frame, remove the backing, and discard the glass pane entirely.
3. Arrange the corks tightly inside the frame to ensure they fit. Arrange them in a stylish random mosaic pattern.
4. Use industrial hot glue to individually secure each cork heavily to the hard backing board of the frame.
5. Hang permanently on the wall and use pushpins to attach important notes, shopping lists, and memories."
664,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Bespoke No-Sew Produce Bag (Var.805),Intermediate,45 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a stretchy mesh."
665,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Premium Hanging Bird Feeder (Var.636),Easy,28 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a chopstick through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
666,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Premium Decorative Pencil Holder (Var.969),Easy,25 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of geometric patterned paper to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
667,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Aesthetic Cat Scratching Pad (Var.138),Intermediate,62 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with silvervine powder!"
668,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Upcycled Braided Dog Tug Toy (Var.696),Easy,19 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your large dog."
669,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Upcycled Biodegradable Seed Starters (Var.864),Easy,19 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Tomato seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
670,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Aesthetic Rustic Tealight Holder (Var.819),Easy,12 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap colorful yarn tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried rose petals to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
671,Plastic Bottle,"plastic, soda bottle, green bottle, large plastic container, rigid plastic",Premium Hanging Bird Feeder (Var.745),Easy,18 minutes,"1. Thoroughly clean and dry the plastic bottle.
2. Cut two small holes opposite each other near the bottom.
3. Push a wooden dowel through the holes to serve as a perch.
4. Cut a slightly larger hole directly above the perch so seeds can spill out.
5. Screw an eye hook into the plastic cap, fill with birdseed, and hang it outside on a branch."
672,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Eco-friendly Biodegradable Seed Starters (Var.431),Easy,13 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Tomato seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
673,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Minimalist Desktop Terrarium (Var.610),Intermediate,44 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of terracotta shards for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Mint.
6. Mist lightly with a spray bottle and seal the jar tightly."
674,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Premium No-Sew Produce Bag (Var.331),Intermediate,34 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a breathable mesh."
675,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Dynamic Desktop Terrarium (Var.976),Intermediate,57 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of glass marbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Aloe Vera.
6. Mist lightly with a spray bottle and seal the jar tightly."
676,Plastic Bottle,"clear, plastic, empty, water bottle, crushed bottle, transparent plastic",Boho Self-Watering Planter (Var.499),Easy,15 minutes,"1. Cut the plastic bottle in half using utility scissors.
2. Invert the top half (with the cap off) and place it inside the bottom half.
3. Thread a piece of cotton string through the cap hole to act as a wick.
4. Fill the top half with soil and your Basil.
5. Fill the bottom half with water. The string will pull water up to the soil!"
677,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Handcrafted Iridescent Mosaic Coasters (Var.718),Intermediate,52 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with black grout and wipe the surface clean. Let it cure."
678,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Upcycled Iridescent Mosaic Coasters (Var.891),Intermediate,61 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with black grout and wipe the surface clean. Let it cure."
679,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Modern Iridescent Mosaic Coasters (Var.519),Intermediate,50 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with white tile grout and wipe the surface clean. Let it cure."
680,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Modern No-Sew Produce Bag (Var.830),Intermediate,43 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a highly expanding mesh."
681,Coffee Grounds,"coffee grounds, wet brown powder, dirt-like powder, used espresso, dark organic waste",Boho Exfoliating Body Scrub (Var.299),Easy,10 minutes,"1. Collect 1 cup of completely cooled, used coffee grounds.
2. In a clean glass mixing bowl, combine the grounds with 1/2 cup of melted jojoba oil.
3. Add 1/4 cup of coarse sea salt for extra exfoliation.
4. Optional: Add 5-10 drops of essential oil for fragrance.
5. Store the mixture in an airtight glass jar and use it in the shower to rejuvenate your skin."
682,Wood Pallet,"wood, pallet, wooden planks, timber, slatted wood, rustic boards",Minimalist Vertical Succulent Garden (Var.865),Advanced,116 minutes,"1. Inspect the heavy wood pallet for any loose nails and rigorously sand down all rough spots.
2. Staple durable burlap tightly to the back, bottom, and sides of the pallet to form a pocket.
3. Lay the pallet flat on the ground and pack it completely with high-quality potting soil.
4. Carefully plant Succulent tightly into the exposed front slats.
5. Leave flat on the ground for exactly 2 weeks to let roots establish securely, then gently stand it up vertically against a wall."
683,Old T-Shirt,"fabric, t-shirt, cotton shirt, old clothing, cloth, textile fabric",Chic No-Sew Produce Bag (Var.201),Intermediate,27 minutes,"1. Lay the t-shirt completely flat on a table and cut off the sleeves and the neckline.
2. Turn the shirt inside out and heavily fringe the bottom hem with scissors, tying opposite pairs tightly into double knots.
3. Turn the shirt right-side out to hide the knots inside.
4. Using scissors, cut small 1-inch horizontal slits all over the body, staggered like a brick pattern.
5. Stretch the bag forcefully to open up the slits, instantly creating a highly expanding mesh."
684,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Boho Desktop Terrarium (Var.311),Intermediate,58 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of glass marbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Basil.
6. Mist lightly with a spray bottle and seal the jar tightly."
685,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Minimalist Herb Garden Planter (Var.912),Easy,27 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with pastel blue acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Tomato."
686,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Chic Herb Garden Planter (Var.203),Easy,25 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with crimson red acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Basil."
687,Glass Jar,"glass jar, mason jar, clear glass container, empty jam jar, transparent cylinder",Aesthetic Desktop Terrarium (Var.473),Intermediate,48 minutes,"1. Clean the glass jar until it is sparkling clean.
2. Add a 1-inch layer of glass marbles for drainage at the very bottom.
3. Add a thin layer of activated charcoal to keep the water fresh and prevent mold.
4. Add 2-3 inches of rich potting soil.
5. Carefully plant small humidity-loving plants like Fern.
6. Mist lightly with a spray bottle and seal the jar tightly."
688,Cardboard Box,"thick cardboard, corrugated board, brown paper box, large cardboard sheets",Bespoke Cat Scratching Pad (Var.433),Intermediate,74 minutes,"1. Cut the thick cardboard box into long strips exactly 2-inches wide.
2. Take the first strip and roll it up as tightly as possible, securing the end with hot glue.
3. Take the next strip and continue rolling it around the first one, gluing as you go.
4. Continue winding outward until the circle is about 12 to 15 inches wide.
5. Generously sprinkle the top texture with catnip spray!"
689,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Dynamic Iridescent Mosaic Coasters (Var.687),Intermediate,64 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with black grout and wipe the surface clean. Let it cure."
690,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Boho Decorative Pencil Holder (Var.910),Easy,17 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of vintage floral cloth to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
691,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Handcrafted Paper Mache Decorative Bowl (Var.471),Intermediate,70 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it metallic copper."
692,CDs/DVDs,"cd, dvd, compact disc, shiny disc, optical disc, reflective circle",Minimalist Iridescent Mosaic Coasters (Var.169),Intermediate,52 minutes,"1. Submerge the old CDs in boiling water for 3 minutes to soften the plastic.
2. Using heavy scissors, cut the softened disc into small, geometric mosaic tiles.
3. Take a blank wooden or cork coaster base and apply a thick layer of craft glue.
4. Arrange the shiny CD shards onto the coaster, leaving a small gap between each piece.
5. Once dry, fill the gaps with black grout and wipe the surface clean. Let it cure."
693,Newspaper,"paper, newspaper, newsprint, crumpled paper, torn pages, text printed paper",Minimalist Paper Mache Decorative Bowl (Var.203),Intermediate,59 minutes,"1. Tear the newspaper cleanly into 1-inch wide vertical strips.
2. Mix 1 part white flour with 2 parts warm water to create a perfectly smooth paste.
3. Cover a glass or plastic bowl smoothly with plastic wrap (this will be your release mold).
4. Dip newspaper strips into the paste, squeegee off the excess with your fingers, and smoothly layer them over the outside of the bowl.
5. Apply exactly 4 varying layers. Let dry completely in a warm room for 24-48 hours, then pop the paper bowl off the mold and paint it forest green."
694,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Bespoke Decorative Pencil Holder (Var.164),Easy,21 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of burlap to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
695,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Premium Pocket Wall Organizer (Var.861),Intermediate,55 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid chopstick through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or socks."
696,Denim Jeans,"denim, blue jeans, torn jeans, fabric, blue cloth, heavy textile",Handcrafted Pocket Wall Organizer (Var.125),Intermediate,53 minutes,"1. Using sharp fabric scissors, carefully cut the back pockets out of 3-4 pairs of old jeans, leaving a small denim border around each.
2. Take a large, sturdy base fabric (like canvas) and arrange the pockets in a grid layout.
3. Using a sewing machine or strong needle and thread, securely stitch three sides of every pocket onto the base fabric.
4. Feed a rigid sturdy twig through a hem at the top of the canvas.
5. Hang the organizer on the wall to hold pens, scissors, or jewelry."
697,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Chic Decorative Pencil Holder (Var.798),Easy,27 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of canvas to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
698,Tin Can,"metal can, tin can, aluminum can, soup can, ridged metal cylinder",Bespoke Herb Garden Planter (Var.934),Easy,23 minutes,"1. Clean the tin can with soap and ensure there are perfectly smooth, no-sharp edges.
2. Use a hammer and a thick nail to punch 3-4 drainage holes in the bottom.
3. Paint the outside of the can with forest green acrylic paint and let it dry in a vented area.
4. Fill with fresh potting soil and plant your Spider Plant."
699,Egg Carton,"egg carton, cardboard egg tray, molded pulp, empty egg box",Upcycled Biodegradable Seed Starters (Var.896),Easy,24 minutes,"1. Carefully cut the flat lid completely off a clean cardboard egg carton.
2. Fill each individual egg cup exactly half-full with a premium seed-starting potting mix.
3. Place exactly 1 to 2 Spider Plant seeds tightly into each cup and cover with a little more loose soil.
4. Gently water the cups using a spray bottle and place them in a bright, sunny windowsill.
5. Once the resulting seedlings are large enough, use scissors to cut the cups apart and plant the entire cup directly into the garden soil (the cardboard will fully biodegrade!)."
700,Tin Can,"tin can, metal cup, rigid cylinder, metallic can, empty food can",Bespoke Decorative Pencil Holder (Var.257),Easy,21 minutes,"1. Remove labels completely and thoroughly clean the tin can interior.
2. Measure a piece of vintage floral cloth to fit precisely around the exterior of the can.
3. Coat the entire can evenly in Mod Podge or strong craft glue.
4. Carefully wrap the covering around the can, smoothing out any trapped air bubbles.
5. Apply a glossy top coat of sealant to protect the finish."
701,Glass Jar,"glass, jar, candle holder, transparent jar, empty pasta sauce jar",Modern Rustic Tealight Holder (Var.901),Easy,23 minutes,"1. Remove any sticky labels from the glass jar using warm soapy water and a sponge.
2. Wrap hemp cord tightly around the neck of the jar 3-4 times and tie a neat bow.
3. Optional: Hot glue small dried rose petals to the wrapping for an aesthetic touch.
4. Place a standard tealight or small pillar candle inside the jar."
702,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Dynamic Braided Dog Tug Toy (Var.961),Easy,18 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your large dog."
703,Cardboard Box,"cardboard, brown box, corrugated cardboard, shipping box, folded carton",Bespoke Custom Drawer Organizers (Var.129),Easy,29 minutes,"1. Measure the exact height and internal width of your target drawer.
2. Cut the cardboard box into sturdy strips that perfectly match the drawer's height.
3. Cut vertical slits exactly halfway through the strips where you want them to intersect.
4. Slot the cardboard strips together like a grid.
5. Place the finished grid into your drawer to smoothly organize office supplies."
704,Pencil Shavings,"wood shavings, pencil shavings, colored pencil tips, thin wood curves, tiny pencil fragments",Boho Pencil Shaving Texture Art (Var.362),Easy,17 minutes,"1. Collect dry, clean pencil shavings (specifically the curly, circular wooden ruffles that still have colored edges).
2. Sketch a simple but elegant base drawing on thick paper, like a abstract wave.
3. Carefully apply standard liquid craft glue to the precise areas where you want 3D texture.
4. Carefully press the pencil shavings into the wet glue to flawlessly form layered petals, feathers, or textures.
5. Use fine-tip colored pencils to elegantly finish coloring the rest of the flat drawing."
705,Old T-Shirt,"torn fabric, t-shirt, strips of cloth, cotton fabric, colorful shirt",Aesthetic Braided Dog Tug Toy (Var.800),Easy,25 minutes,"1. Cut the old t-shirt vertically into long strips, exactly 1 to 2 inches wide.
2. Gather 3 thick strips together and tie an incredibly tight knot at one end.
3. Braid the three strips together as tightly as humanly possible.
4. Tie another extremely strong knot at the opposite end to seal the braid.
5. Trim the excess fabric past the knots to create fun tassels for your small dog."
